CPV Code,Description
"03000000Landbruk,","gårdsbruk, fiske, skogsbruk og relaterte produkter"
00000Landbruk,og hagebruksprodukter
10000Produkter,"fra landbruk, gartneri og hagebruk"
"13000Sukkerbeter,",sukkerrør
14000Halm,og fórproduksjon
15000Ubearbeidede,planteprodukter
15100Ubearbeidede,"planteprodukter, brukt i tekstiler"
16000Naturgummi,og lateks og tilhørende produkter
16300Lateks,produkter
17000Planter,til bruk innen særskilte områder
17100Planter,"brukt til fremstilling av parfymepreparater, farmasøytiske preparater, insektsbekjempende midler eller lignende"
17110Planter,brukt til fremstilling av parfymepreparater
17120Planter,brukt til fremstilling farmasøytiske preparater
17130Planter,brukt til fremstilling av innsektsbekjempende midler
17140Planter,brukt til fremstilling av soppbekjempende midler eller lignende
17200Plantefrø,for spesielle formål
20000Landbruks-,og gartneriprodukter
21000Hagebruks,produkter
21100Levende,"planter, blomsterløk, røtter, podekvister og stiklinger"
21200Avskårne,blomster
30000Avlinger,brukt til fremstilling av drikkevarer og krydder
31000Planter,til fremstilling av drikkevarer
"32000Krydderier,",ikke bearbeidet
40000Dyreprodukter,og relaterte produkter
42000Animalske,produkter
42100Naturlig,honning
42300Spiselige,produkter av animalsk opprinnelse
43000Produkter,fra blandet landbruksdrift
