CPV Code,Name,Description
03000000,"Landbruk,","gårdsbruk, fiske, skogsbruk og relaterte produkter"
03200000,"Korn,","poteter, grønnsaker, frukt og nøtterKorn og poteterKornHveteDurumhveteVanlig hveteMaisRisBygg (korn)RugHavreMaltKornprodukterPoteter og tørkede grønnsakerPoteterTørkede belgfrukter og -planterTørkede belgfrukterBelgfrukterGrønnsaker, frukt og nøtterGrønnsakerRot og knollveksterRotveksterKnollveksterFrukt grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurkerBladgrønnsakerHodesalatBladsalaterArtisjokkerSpinatKål grønnsakerKålBlomkålBroccoliRosenkålFrukter og nøtterTropiske frukter og nøtterTropiske frukterKokosnøtterSitrusfrukterSitronerAppelsinerGrapefrukterTangerinerLimefrukterIkke-tropisk fruktBærfruktEpler, pærer og syrlig frukterSteinfrukterDruerOlivenGårdsbruk, jakt- og fiskeprodukterFisk, skalldyr og sjøprodukterFiskFlatfiskTungeRødspetteTorskefiskTorskSeiLysingKoljeSildTunfiskHvitingSmåsildLaksKrepsdyrØstersSkalldyrVirvelløse havdyrSjøprodukterKoraller eller tilsvarende produkterNatursvampTangAlgerKveg, levende dyr og smådyrKvegStorfeKalverHusdyrbestandSauGeiterHesterSvinLevende fjærkreSmådyrKaninerHarerHusdyr og produkter heravFersk melk fra sau og geiterMelk fra sauMelk fra geiterUll og dyrehårKlippet ullDyrehårFersk kumelkØremerker til dyrØremerker til kvegSkog og tømmerprodukterTrevirkeBartrærTropiske tresorterVed til brenselUbehandlet treBløtt treSpilltreTreavfallSagsponTømmerstokkerHardt treTømmerTømmer produkterGruvetømmerGummierBalsatreSkjellakkKorkNaturkorkKurvprodukterFlettverkerSkogbruksprodukterPrydplanter, gress, mose og lavPlanteskoleprodukterPlanterVekster til utplantingBlomsterløkBuskerTrærBløt masseTremasseKjemisk tremasse | poteter, grønnsaker, frukt og nøtterKorn og poteterKornHveteDurumhveteVanlig hveteMaisRisBygg (korn)RugHavreMaltKornprodukterPoteter og tørkede grønnsakerPoteterTørkede belgfrukter og -planterTørkede belgfrukterBelgfrukterGrønnsaker, frukt og nøtterGrønnsakerRot og knollveksterRotveksterKnollveksterFrukt grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurkerBladgrønnsakerHodesalatBladsalaterArtisjokkerSpinatKål grønnsakerKålBlomkålBroccoliRosenkålFrukter og nøtterTropiske frukter og nøtterTropiske frukterKokosnøtterSitrusfrukterSitronerAppelsinerGrapefrukterTangerinerLimefrukterIkke-tropisk fruktBærfruktEpler, pærer og syrlig frukterSteinfrukterDruerOliven"
03210000,Korn,og poteterKornHveteDurumhveteVanlig hveteMaisRisBygg (korn)RugHavreMaltKornprodukterPoteter og tørkede grønnsakerPoteterTørkede belgfrukter og -planterTørkede belgfrukterBelgfrukter
03211000,Korn,hveteMaisRisBygg (korn)RugHavreMaltKornprodukter
03211100,Hvete,hveteMaisRisBygg (korn)RugHavreMaltKornprodukter | hvete
03211110,Durumhvete,hveteMaisRisBygg (korn)RugHavreMaltKornprodukter | hvete
03211120,Vanlig,hveteMaisRisBygg (korn)RugHavreMaltKornprodukter | hvete | hvete
03211400,Bygg,(korn)
03212000,Poteter,og tørkede grønnsakerPoteterTørkede belgfrukter og -planterTørkede belgfrukterBelgfrukter
03212200,Tørkede,belgfrukter og -planterTørkede belgfrukterBelgfrukter
03212210,Tørkede,belgfrukter
03220000,"Grønnsaker,","frukt og nøtterGrønnsakerRot og knollveksterRotveksterKnollveksterFrukt grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurkerBladgrønnsakerHodesalatBladsalaterArtisjokkerSpinatKål grønnsakerKålBlomkålBroccoliRosenkålFrukter og nøtterTropiske frukter og nøtterTropiske frukterKokosnøtterSitrusfrukterSitronerAppelsinerGrapefrukterTangerinerLimefrukterIkke-tropisk fruktBærfruktEpler, pærer og syrlig frukterSteinfrukterDruerOliven"
03221000,Grønnsaker,og knollveksterRotveksterKnollveksterFrukt grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurkerBladgrønnsakerHodesalatBladsalaterArtisjokkerSpinatKål grønnsakerKålBlomkålBroccoliRosenkål
03221100,Rot,og knollveksterRotveksterKnollveksterFrukt grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurkerBladgrønnsakerHodesalatBladsalaterArtisjokkerSpinatKål grønnsakerKålBlomkålBroccoliRosenkål | og knollveksterRotveksterKnollvekster
03221200,Frukt,grønnsakerBønnerErterPepperfrukterTomaterSquashSoppAgurker
03221400,Kål,grønnsakerKålBlomkålBroccoliRosenkål
03222000,Frukter,"og nøtterTropiske frukter og nøtterTropiske frukterKokosnøtterSitrusfrukterSitronerAppelsinerGrapefrukterTangerinerLimefrukterIkke-tropisk fruktBærfruktEpler, pærer og syrlig frukterSteinfrukterDruerOliven"
03222100,Tropiske,frukter og nøtterTropiske frukterKokosnøtter
03222110,Tropiske,frukter
03222300,Ikke-tropisk,"fruktBærfruktEpler, pærer og syrlig frukterSteinfrukterDruer"
03222320,"Epler,",pærer og syrlig frukter
03300000,"Gårdsbruk,","jakt- og fiskeprodukterFisk, skalldyr og sjøprodukterFiskFlatfiskTungeRødspetteTorskefiskTorskSeiLysingKoljeSildTunfiskHvitingSmåsildLaksKrepsdyrØstersSkalldyrVirvelløse havdyrSjøprodukterKoraller eller tilsvarende produkterNatursvampTangAlgerKveg, levende dyr og smådyrKvegStorfeKalverHusdyrbestandSauGeiterHesterSvinLevende fjærkreSmådyrKaninerHarerHusdyr og produkter heravFersk melk fra sau og geiterMelk fra sauMelk fra geiterUll og dyrehårKlippet ullDyrehårFersk kumelkØremerker til dyrØremerker til kveg"
